"","Park","EcoSite","EventYear","Plot","EventPanel","Transect","Quadrat","rownumber","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","simpson","shannon","invD"
"19","WACA","P",2016,"P01","A","C","4",19,4,10,6.97137002317335,NA,NA,0.619897959183674,1.11356641562985,2.63087248322148
"20","WACA","P",2016,"P01","A","C","5",20,15,120,56.1540848914841,NA,NA,0.797076702411037,1.84141803170008,4.92797038034332
"21","WACA","P",2018,"P01","A","A","1",21,5,15,10.041580220928,NA,NA,0.0511047394164277,0.156463679592601,1.05385709207252
"22","WACA","P",2018,"P01","A","A","2",22,11,66,34.8179790721212,NA,NA,0.31273805401662,0.734617104822237,1.4550492804736
"23","WACA","P",2018,"P01","A","A","3",23,1,1,0,NA,NA,0,0,1
"24","WACA","P",2018,"P01","A","A","4",24,3,6,4.28660704987056,NA,NA,0.40625,0.735621939758795,1.68421052631579
"25","WACA","P",2018,"P01","A","A","5",25,7,28,17.1846588560844,NA,NA,0.73356401384083,1.56844195401288,3.75324675324675
"26","WACA","P",2018,"P01","A","C","1",26,13,91,45.0642398613991,NA,NA,0.628698649813272,1.58831700684658,2.69323017408124
"27","WACA","P",2018,"P01","A","C","2",27,12,78,39.8313753407846,NA,NA,0.714792899408284,1.64888283763203,3.50622406639004
"28","WACA","P",2018,"P01","A","C","3",28,9,45,25.4911749434976,NA,NA,0.802083333333333,1.8342342284269,5.05263157894737
"29","WACA","P",2018,"P01","A","C","4",29,4,10,6.97137002317335,NA,NA,0.698060941828255,1.24698263989776,3.31192660550459
"30","WACA","P",2018,"P01","A","C","5",30,14,105,50.5077551801041,NA,NA,0.669874567474048,1.51888683396701,3.02915165411071
"31","WACA","P",2020,"P01","A","A","1",31,3,6,4.28660704987056,NA,NA,0.0543981481481483,0.14618463369029,1.05752753977968
"32","WACA","P",2020,"P01","A","A","2",32,6,21,13.4562784071759,NA,NA,0.548014773776547,1.04381509730628,2.21246169560776
"33","WACA","P",2020,"P01","A","A","3",33,1,1,0,NA,NA,0,0,1
"34","WACA","P",2020,"P01","A","A","4",34,2,3,2.04124145231932,NA,NA,0.244897959183673,0.410116318288409,1.32432432432432
"35","WACA","P",2020,"P01","A","A","5",35,5,15,10.041580220928,NA,NA,0.8,1.6094379124341,5
"36","WACA","P",2020,"P01","A","C","1",36,12,78,39.8313753407846,NA,NA,0.676020408163265,1.62735897830712,3.08661417322835
"37","WACA","P",2020,"P01","A","C","2",37,10,55,30.0340715612362,NA,NA,0.816,1.928809007024,5.43478260869565
"38","WACA","P",2020,"P01","A","C","3",38,7,28,17.1846588560844,NA,NA,0.857142857142857,1.94591014905531,7
"39","WACA","P",2020,"P01","A","C","4",39,3,6,4.28660704987056,NA,NA,0.666666666666667,1.09861228866811,3
"40","WACA","P",2020,"P01","A","C","5",40,11,66,34.8179790721212,NA,NA,0.806584362139918,1.88725855620925,5.17021276595745
"41","WACA","P",2022,"P01","A","A","1",41,4,10,6.97137002317335,NA,NA,0.322631787554499,0.58067340647081,1.47630193095377
"42","WACA","P",2022,"P01","A","A","2",42,8,36,21.202725191719,NA,NA,0.41805895893666,0.895927365718737,1.71838713793543
"43","WACA","P",2022,"P01","A","A","3",43,4,10,6.97137002317335,NA,NA,0.622448979591837,1.10326349884835,2.64864864864865
"44","WACA","P",2022,"P01","A","A","4",44,7,28,17.1846588560844,NA,NA,0.740740740740741,1.55928495338283,3.85714285714286
"45","WACA","P",2022,"P01","A","A","5",45,16,136,61.9962048174298,NA,NA,0.716666666666667,1.85621803062261,3.52941176470588
"46","WACA","P",2022,"P01","A","C","1",46,13,91,45.0642398613991,NA,NA,0.74006243496358,1.78823361819626,3.8470776621297
"47","WACA","P",2022,"P01","A","C","2",47,16,136,61.9962048174298,NA,NA,0.795064893446563,2.01933517236739,4.87959343236904
"48","WACA","P",2022,"P01","A","C","3",48,13,91,45.0642398613991,NA,NA,0.849489795918367,2.18035913710003,6.64406779661017
"49","WACA","P",2022,"P01","A","C","4",49,3,6,4.28660704987056,NA,NA,0.666666666666667,1.09861228866811,3
"50","WACA","P",2022,"P01","A","C","5",50,16,136,61.9962048174298,NA,NA,0.627215592119201,1.57729452486395,2.68251562795984
"51","WACA","P",2014,"P02","A","A","1",51,10,55,30.0340715612362,NA,NA,0.432548664554097,1.03641885259383,1.76226565616274
"52","WACA","P",2014,"P02","A","A","2",52,6,21,13.4562784071759,NA,NA,0.596,1.22627116750875,2.47524752475248
"53","WACA","P",2014,"P02","A","A","3",53,12,78,39.8313753407846,NA,NA,0.622837370242215,1.50953082722234,2.65137614678899
"54","WACA","P",2014,"P02","A","A","4",54,6,21,13.4562784071759,NA,NA,0.703125,1.42876912031874,3.36842105263158
"55","WACA","P",2014,"P02","A","A","5",55,12,78,39.8313753407846,NA,NA,0.822306238185255,2.01075052088026,5.62765957446809
"56","WACA","P",2014,"P02","A","C","1",56,12,78,39.8313753407846,NA,NA,0.841983852364475,2.08136412108953,6.32846715328467
"57","WACA","P",2014,"P02","A","C","2",57,7,28,17.1846588560844,NA,NA,0.628571428571429,1.23416217483038,2.69230769230769
"58","WACA","P",2014,"P02","A","C","3",58,15,120,56.1540848914841,NA,NA,0.524965311990991,1.28997645102733,2.1051094272531
"59","WACA","P",2014,"P02","A","C","4",59,19,190,80.6366851997278,NA,NA,0.729253420582986,1.78115272783893,3.69349079923098
"60","WACA","P",2014,"P02","A","C","5",60,12,78,39.8313753407846,NA,NA,0.63125,1.5227567091418,2.71186440677966
"61","WACA","P",2016,"P02","A","A","1",61,13,91,45.0642398613991,NA,NA,0.278081011203677,0.747635808502963,1.38519697572622
"62","WACA","P",2016,"P02","A","A","2",62,8,36,21.202725191719,NA,NA,0.407844990548204,0.938676214119039,1.68874700718276
"63","WACA","P",2016,"P02","A","A","3",63,11,66,34.8179790721212,NA,NA,0.456676484042084,0.937624535527386,1.84052405358699
"64","WACA","P",2016,"P02","A","A","4",64,10,55,30.0340715612362,NA,NA,0.777120315581854,1.79503796760046,4.48672566371681
"65","WACA","P",2016,"P02","A","A","5",65,16,136,61.9962048174298,NA,NA,0.709490740740741,1.74804990175982,3.44223107569721
"66","WACA","P",2016,"P02","A","C","1",66,10,55,30.0340715612362,NA,NA,0.764965343415249,1.82049400688603,4.25469168900804
"67","WACA","P",2016,"P02","A","C","2",67,7,28,17.1846588560844,NA,NA,0.666666666666667,1.35838142726986,3
"68","WACA","P",2016,"P02","A","C","3",68,15,120,56.1540848914841,NA,NA,0.645615889373321,1.65311360226401,2.82179694296011
"69","WACA","P",2016,"P02","A","C","4",69,19,190,80.6366851997278,NA,NA,0.514242822293113,1.30041623177793,2.05864173684617
"70","WACA","P",2016,"P02","A","C","5",70,12,78,39.8313753407846,NA,NA,0.769319161160586,1.76253883140441,4.33499377334994
"71","WACA","P",2018,"P02","A","A","1",71,10,55,30.0340715612362,NA,NA,0.512396694214876,1.22086058243569,2.05084745762712
"72","WACA","P",2018,"P02","A","A","2",72,7,28,17.1846588560844,NA,NA,0.440214158239143,0.962682352918137,1.78639744952178
"73","WACA","P",2018,"P02","A","A","3",73,13,91,45.0642398613991,NA,NA,0.574628682736791,1.37379064810429,2.35088723526045
"74","WACA","P",2018,"P02","A","A","4",74,12,78,39.8313753407846,NA,NA,0.8515625,2.12191630087869,6.73684210526316
"75","WACA","P",2018,"P02","A","A","5",75,13,91,45.0642398613991,NA,NA,0.877770083102493,2.27158329106732,8.18130311614731
"76","WACA","P",2018,"P02","A","C","1",76,14,105,50.5077551801041,NA,NA,0.866782006920415,2.26158913457283,7.50649350649351
"77","WACA","P",2018,"P02","A","C","2",77,6,21,13.4562784071759,NA,NA,0.666666666666667,1.33046849341983,3
"78","WACA","P",2018,"P02","A","C","3",78,18,171,74.2430220006532,NA,NA,0.896398891966759,2.47896997836709,9.6524064171123
"79","WACA","P",2018,"P02","A","C","4",79,22,253,100.84156751623,NA,NA,0.654656814124182,1.58519235447587,2.89567028074962
"80","WACA","P",2018,"P02","A","C","5",80,12,78,39.8313753407846,NA,NA,0.66955110870741,1.59129767383458,3.02618657937807
"81","WACA","P",2020,"P02","A","A","1",81,8,36,21.202725191719,NA,NA,0.786389413988658,1.73324767479415,4.68141592920354
"82","WACA","P",2020,"P02","A","A","2",82,6,21,13.4562784071759,NA,NA,0.661157024793388,1.4205719259467,2.95121951219512
"83","WACA","P",2020,"P02","A","A","3",83,7,28,17.1846588560844,NA,NA,0.666454081632653,1.43538474946126,2.9980879541109
"84","WACA","P",2020,"P02","A","A","4",84,8,36,21.202725191719,NA,NA,0.759259259259259,1.69586544507746,4.15384615384615
"85","WACA","P",2020,"P02","A","A","5",85,10,55,30.0340715612362,NA,NA,0.833333333333333,1.96778980627971,6
"86","WACA","P",2020,"P02","A","C","1",86,8,36,21.202725191719,NA,NA,0.745562130177515,1.73798344858705,3.93023255813954
"87","WACA","P",2020,"P02","A","C","2",87,6,21,13.4562784071759,NA,NA,0.661157024793388,1.4205719259467,2.95121951219512
"88","WACA","P",2020,"P02","A","C","3",88,13,91,45.0642398613991,NA,NA,0.726326742976067,1.78780940582996,3.65399239543726
"89","WACA","P",2020,"P02","A","C","4",89,14,105,50.5077551801041,NA,NA,0.604810534802472,1.35376119207706,2.53043182590955
"90","WACA","P",2020,"P02","A","C","5",90,10,55,30.0340715612362,NA,NA,0.592253227821741,1.37065631687387,2.45250255362615
"91","WACA","P",2022,"P02","A","A","1",91,9,45,25.4911749434976,NA,NA,0.652263374485597,1.5021767892315,2.87573964497041
"92","WACA","P",2022,"P02","A","A","2",92,9,45,25.4911749434976,NA,NA,0.592253227821741,1.37065631687387,2.45250255362615
"93","WACA","P",2022,"P02","A","A","3",93,17,153,68.0277721065285,NA,NA,0.672713529856387,1.79343173658321,3.0554272517321
"94","WACA","P",2022,"P02","A","A","4",94,15,120,56.1540848914841,NA,NA,0.888888888888889,2.37325491438788,9
"95","WACA","P",2022,"P02","A","A","5",95,18,171,74.2430220006532,NA,NA,0.827186198691255,2.24464828192958,5.78657487091222
"96","WACA","P",2022,"P02","A","C","1",96,13,91,45.0642398613991,NA,NA,0.895692417230331,2.34756635651539,9.58703071672355
"97","WACA","P",2022,"P02","A","C","2",97,8,36,21.202725191719,NA,NA,0.707911957168352,1.46986321674249,3.42362525458248
"98","WACA","P",2022,"P02","A","C","3",98,19,190,80.6366851997278,NA,NA,0.780834072759539,2.12866408973703,4.56275303643725
"99","WACA","P",2022,"P02","A","C","4",99,22,253,100.84156751623,NA,NA,0.907721606648199,2.64707825206791,10.8367729831144
"100","WACA","P",2022,"P02","A","C","5",100,13,91,45.0642398613991,NA,NA,0.51441753171857,1.28774836029478,2.05938242280285
"101","WACA","P",2014,"P03","A","A","1",101,4,10,6.97137002317335,NA,NA,0.0971799391123218,0.237621292964899,1.10764042949685
"102","WACA","P",2014,"P03","A","A","2",102,8,36,21.202725191719,NA,NA,0.572193815437059,1.27693878490277,2.33750711439954
"103","WACA","P",2014,"P03","A","A","3",103,10,55,30.0340715612362,NA,NA,0.78256989886972,1.77831561398333,4.59917920656635
"104","WACA","P",2014,"P03","A","A","4",104,3,6,4.28660704987056,NA,NA,0.40625,0.735621939758795,1.68421052631579
"105","WACA","P",2014,"P03","A","A","5",105,9,45,25.4911749434976,NA,NA,0.800416418798334,1.88037759654952,5.01043219076006
"106","WACA","P",2014,"P03","A","C","1",106,5,15,10.041580220928,NA,NA,0.666666666666667,1.27464262571977,3
"107","WACA","P",2014,"P03","A","C","2",107,7,28,17.1846588560844,NA,NA,0.73356401384083,1.56844195401288,3.75324675324675
"108","WACA","P",2014,"P03","A","C","3",108,8,36,21.202725191719,NA,NA,0.557718424626528,1.22170004680365,2.26100307062436
"109","WACA","P",2014,"P03","A","C","4",109,4,10,6.97137002317335,NA,NA,0.518518518518519,1.00271826451752,2.07692307692308
"110","WACA","P",2014,"P03","A","C","5",110,9,45,25.4911749434976,NA,NA,0.802083333333333,1.8342342284269,5.05263157894737
"111","WACA","P",2016,"P03","A","A","1",111,5,15,10.041580220928,NA,NA,0.067709187400307,0.185724639765445,1.07262668095109
"112","WACA","P",2016,"P03","A","A","2",112,10,55,30.0340715612362,NA,NA,0.432548664554097,1.03641885259383,1.76226565616274
"113","WACA","P",2016,"P03","A","A","3",113,10,55,30.0340715612362,NA,NA,0.712237814999245,1.67032617935315,3.47509176717357
"114","WACA","P",2016,"P03","A","A","4",114,5,15,10.041580220928,NA,NA,0.666666666666667,1.27464262571977,3
"115","WACA","P",2016,"P03","A","A","5",115,10,55,30.0340715612362,NA,NA,0.770724939299341,1.76029167620088,4.36157337367625
"116","WACA","P",2016,"P03","A","C","1",116,4,10,6.97137002317335,NA,NA,0.644265887509131,1.12464594376761,2.81108829568789
"117","WACA","P",2016,"P03","A","C","2",117,5,15,10.041580220928,NA,NA,0.768,1.49878673440927,4.31034482758621
"118","WACA","P",2016,"P03","A","C","3",118,9,45,25.4911749434976,NA,NA,0.687304890738814,1.47942812541389,3.19800332778702
"119","WACA","P",2016,"P03","A","C","4",119,3,6,4.28660704987056,NA,NA,0.214532871972318,0.443757284260148,1.27312775330396
"120","WACA","P",2016,"P03","A","C","5",120,9,45,25.4911749434976,NA,NA,0.761430511543685,1.66413441737383,4.19165085388994
"121","WACA","P",2018,"P03","A","A","1",121,5,15,10.041580220928,NA,NA,0.0311860623721246,0.102825489595066,1.03218993984385
"122","WACA","P",2018,"P03","A","A","2",122,9,45,25.4911749434976,NA,NA,0.489994591671174,1.13825876068814,1.96076352067868
"123","WACA","P",2018,"P03","A","A","3",123,11,66,34.8179790721212,NA,NA,0.771428571428571,1.86936292287686,4.375
"124","WACA","P",2018,"P03","A","A","4",124,3,6,4.28660704987056,NA,NA,0.568047337278107,0.911017539712563,2.31506849315069
"125","WACA","P",2018,"P03","A","A","5",125,10,55,30.0340715612362,NA,NA,0.652263374485597,1.5021767892315,2.87573964497041
"126","WACA","P",2018,"P03","A","C","1",126,3,6,4.28660704987056,NA,NA,0.40625,0.735621939758795,1.68421052631579
"127","WACA","P",2018,"P03","A","C","2",127,4,10,6.97137002317335,NA,NA,0.518518518518519,1.00271826451752,2.07692307692308
"128","WACA","P",2018,"P03","A","C","3",128,12,78,39.8313753407846,NA,NA,0.714792899408284,1.64888283763203,3.50622406639004
"129","WACA","P",2018,"P03","A","C","4",129,5,15,10.041580220928,NA,NA,0.725,1.38314875124874,3.63636363636364
"130","WACA","P",2018,"P03","A","C","5",130,12,78,39.8313753407846,NA,NA,0.839506172839506,2.10133055318563,6.23076923076923
"131","WACA","P",2020,"P03","A","A","1",131,4,10,6.97137002317335,NA,NA,0.18836291913215,0.406129034909804,1.23207776427704
"132","WACA","P",2020,"P03","A","A","2",132,8,36,21.202725191719,NA,NA,0.759259259259259,1.69586544507746,4.15384615384615
"133","WACA","P",2020,"P03","A","A","3",133,9,45,25.4911749434976,NA,NA,0.802083333333333,1.8342342284269,5.05263157894737
"134","WACA","P",2020,"P03","A","A","4",134,2,3,2.04124145231932,NA,NA,0.5,0.693147180559945,2
"135","WACA","P",2020,"P03","A","A","5",135,8,36,21.202725191719,NA,NA,0.759259259259259,1.69586544507746,4.15384615384615
"136","WACA","P",2020,"P03","A","C","1",136,4,10,6.97137002317335,NA,NA,0.518518518518519,1.00271826451752,2.07692307692308
"137","WACA","P",2020,"P03","A","C","2",137,5,15,10.041580220928,NA,NA,0.8,1.6094379124341,5
"138","WACA","P",2020,"P03","A","C","3",138,9,45,25.4911749434976,NA,NA,0.781163434903047,1.81280141965398,4.56962025316456
"139","WACA","P",2020,"P03","A","C","4",139,4,10,6.97137002317335,NA,NA,0.75,1.38629436111989,4
"140","WACA","P",2020,"P03","A","C","5",140,8,36,21.202725191719,NA,NA,0.745562130177515,1.73798344858705,3.93023255813954
"141","WACA","P",2014,"P04","A","A","1",141,7,28,17.1846588560844,NA,NA,0.73356401384083,1.56844195401288,3.75324675324675
"142","WACA","P",2014,"P04","A","A","2",142,1,1,0,NA,NA,0,0,1
"143","WACA","P",2014,"P04","A","A","3",143,5,15,10.041580220928,NA,NA,0.6,1.22752941145721,2.5
"144","WACA","P",2014,"P04","A","A","4",144,10,55,30.0340715612362,NA,NA,0.806818181818182,1.88366735487266,5.1764705882353
"145","WACA","P",2014,"P04","A","A","5",145,9,45,25.4911749434976,NA,NA,0.658163265306122,1.49751487332158,2.92537313432836
"146","WACA","P",2014,"P04","A","C","1",146,4,10,6.97137002317335,NA,NA,0.622448979591837,1.10326349884835,2.64864864864865
"147","WACA","P",2014,"P04","A","C","2",147,4,10,6.97137002317335,NA,NA,0.622448979591837,1.10326349884835,2.64864864864865
"148","WACA","P",2014,"P04","A","C","3",148,6,21,13.4562784071759,NA,NA,0.576,1.16402343159214,2.35849056603774
"149","WACA","P",2014,"P04","A","C","4",149,9,45,25.4911749434976,NA,NA,0.575520833333333,1.29751278006203,2.3558282208589
"150","WACA","P",2014,"P04","A","C","5",150,9,45,25.4911749434976,NA,NA,0.765927977839335,1.71989080544643,4.27218934911243
"151","WACA","P",2016,"P04","A","A","1",151,7,28,17.1846588560844,NA,NA,0.740740740740741,1.55928495338283,3.85714285714286
"152","WACA","P",2016,"P04","A","A","2",152,1,1,0,NA,NA,0,0,1
"153","WACA","P",2016,"P04","A","A","3",153,6,21,13.4562784071759,NA,NA,0.784023668639053,1.60416472027251,4.63013698630137
"154","WACA","P",2016,"P04","A","A","4",154,10,55,30.0340715612362,NA,NA,0.569144011446848,1.37118267272763,2.32096112521977
"155","WACA","P",2016,"P04","A","A","5",155,9,45,25.4911749434976,NA,NA,0.699167657550535,1.51347023857835,3.32411067193676
"156","WACA","P",2016,"P04","A","C","1",156,5,15,10.041580220928,NA,NA,0.602508650519031,1.06035476818938,2.51577801958651
"157","WACA","P",2016,"P04","A","C","2",157,3,6,4.28660704987056,NA,NA,0.568047337278107,0.911017539712563,2.31506849315069
"158","WACA","P",2016,"P04","A","C","3",158,7,28,17.1846588560844,NA,NA,0.68678459937565,1.43005602231515,3.19269102990033
"159","WACA","P",2016,"P04","A","C","4",159,15,120,56.1540848914841,NA,NA,0.648820146738053,1.62707700547949,2.84754376058724
"160","WACA","P",2016,"P04","A","C","5",160,10,55,30.0340715612362,NA,NA,0.713757396449704,1.50602382984514,3.49354005167959
"161","WACA","P",2018,"P04","A","A","1",161,7,28,17.1846588560844,NA,NA,0.606508875739645,1.28227692910219,2.54135338345865
"162","WACA","P",2018,"P04","A","A","2",162,1,1,0,NA,NA,0,0,1
"163","WACA","P",2018,"P04","A","A","3",163,5,15,10.041580220928,NA,NA,0.6,1.22752941145721,2.5
"164","WACA","P",2018,"P04","A","A","4",164,14,105,50.5077551801041,NA,NA,0.814494321254732,2.06649259330663,5.39067055393586
"165","WACA","P",2018,"P04","A","A","5",165,10,55,30.0340715612362,NA,NA,0.732266435986159,1.64732616234518,3.73505654281099
"166","WACA","P",2018,"P04","A","C","1",166,4,10,6.97137002317335,NA,NA,0.619897959183674,1.11356641562985,2.63087248322148
"167","WACA","P",2018,"P04","A","C","2",167,5,15,10.041580220928,NA,NA,0.666666666666667,1.27464262571977,3
"168","WACA","P",2018,"P04","A","C","3",168,11,66,34.8179790721212,NA,NA,0.664462809917355,1.56574060530575,2.98029556650246
"169","WACA","P",2018,"P04","A","C","4",169,13,91,45.0642398613991,NA,NA,0.466787118716123,1.17629512912647,1.87542355989635
"170","WACA","P",2018,"P04","A","C","5",170,12,78,39.8313753407846,NA,NA,0.504852465444564,1.24485423758454,2.01960007919224
"171","WACA","P",2020,"P04","A","A","1",171,6,21,13.4562784071759,NA,NA,0.748299319727891,1.50872860695652,3.97297297297297
"172","WACA","P",2020,"P04","A","A","2",172,0,0,NA,NA,NA,1,0,Inf
"173","WACA","P",2020,"P04","A","A","3",173,5,15,10.041580220928,NA,NA,0.8,1.6094379124341,5
"174","WACA","P",2020,"P04","A","A","4",174,7,28,17.1846588560844,NA,NA,0.708333333333333,1.58902691517397,3.42857142857143
"175","WACA","P",2020,"P04","A","A","5",175,7,28,17.1846588560844,NA,NA,0.708333333333333,1.58902691517397,3.42857142857143
"176","WACA","P",2020,"P04","A","C","1",176,4,10,6.97137002317335,NA,NA,0.622448979591837,1.10326349884835,2.64864864864865
"177","WACA","P",2020,"P04","A","C","2",177,4,10,6.97137002317335,NA,NA,0.518518518518519,1.00271826451752,2.07692307692308
"178","WACA","P",2020,"P04","A","C","3",178,5,15,10.041580220928,NA,NA,0.666666666666667,1.27464262571977,3
"179","WACA","P",2020,"P04","A","C","4",179,8,36,21.202725191719,NA,NA,0.557718424626528,1.22170004680365,2.26100307062436
"180","WACA","P",2020,"P04","A","C","5",180,6,21,13.4562784071759,NA,NA,0.576,1.16402343159214,2.35849056603774
"181","WACA","P",2022,"P04","A","A","1",181,10,55,30.0340715612362,NA,NA,0.761118408707074,1.7471868147392,4.18617439120189
"182","WACA","P",2022,"P04","A","A","2",182,3,6,4.28660704987056,NA,NA,0.666666666666667,1.09861228866811,3
"183","WACA","P",2022,"P04","A","A","3",183,6,21,13.4562784071759,NA,NA,0.703125,1.42876912031874,3.36842105263158
"184","WACA","P",2022,"P04","A","A","4",184,12,78,39.8313753407846,NA,NA,0.874149659863946,2.20187578751646,7.94594594594595
"185","WACA","P",2022,"P04","A","A","5",185,10,55,30.0340715612362,NA,NA,0.777120315581854,1.79503796760046,4.48672566371681
"186","WACA","P",2022,"P04","A","C","1",186,4,10,6.97137002317335,NA,NA,0.694214876033058,1.2882523050229,3.27027027027027
"187","WACA","P",2022,"P04","A","C","2",187,8,36,21.202725191719,NA,NA,0.557718424626528,1.22170004680365,2.26100307062436
"188","WACA","P",2022,"P04","A","C","3",188,10,55,30.0340715612362,NA,NA,0.829654310703873,1.96582974518461,5.87041564792176
"189","WACA","P",2022,"P04","A","C","4",189,17,153,68.0277721065285,NA,NA,0.704526748971193,1.84402057349349,3.38440111420613
"190","WACA","P",2022,"P04","A","C","5",190,10,55,30.0340715612362,NA,NA,0.833333333333333,1.96778980627971,6
"191","WACA","P",2014,"P06","A","A","1",191,15,120,56.1540848914841,NA,NA,0.534812642197308,1.25004221297011,2.14967148875991
"192","WACA","P",2014,"P06","A","A","2",192,13,91,45.0642398613991,NA,NA,0.877770083102493,2.27158329106732,8.18130311614731
"193","WACA","P",2014,"P06","A","A","3",193,17,153,68.0277721065285,NA,NA,0.846537396121884,2.26008139503237,6.51624548736462
"194","WACA","P",2014,"P06","A","A","4",194,19,190,80.6366851997278,NA,NA,0.393343248602848,1.09591564478652,1.64837858920545
"195","WACA","P",2014,"P06","A","A","5",195,18,171,74.2430220006532,NA,NA,0.711578157252768,1.90237475379779,3.46714378659727
"196","WACA","P",2014,"P06","A","C","1",196,20,210,87.2039208380209,NA,NA,0.685397155740548,1.79656299434008,3.17861080485116
"197","WACA","P",2014,"P06","A","C","2",197,22,253,100.84156751623,NA,NA,0.909696859021183,2.68535885843631,11.0738119312437
"198","WACA","P",2014,"P06","A","C","3",198,14,105,50.5077551801041,NA,NA,0.545657451640692,1.40243456628519,2.20098250452469
"199","WACA","P",2014,"P06","A","C","4",199,20,210,87.2039208380209,NA,NA,0.523175079752299,1.46623674229083,2.09720582447855
"200","WACA","P",2014,"P06","A","C","5",200,20,210,87.2039208380209,NA,NA,0.478151010701546,1.36730816632079,1.91626317288522
"201","WACA","P",2016,"P06","A","A","1",201,15,120,56.1540848914841,NA,NA,0.4073644842046,1.05264720210228,1.68737777832613
"202","WACA","P",2016,"P06","A","A","2",202,11,66,34.8179790721212,NA,NA,0.660530221538378,1.57753790898274,2.94577032610004
"203","WACA","P",2016,"P06","A","A","3",203,18,171,74.2430220006532,NA,NA,0.804823056563082,2.06240143786531,5.12355600200904
"204","WACA","P",2016,"P06","A","A","4",204,20,210,87.2039208380209,NA,NA,0.593694229625223,1.46950960762317,2.46120058565154
"205","WACA","P",2016,"P06","A","A","5",205,24,300,115.123933219813,NA,NA,0.672160062983542,1.59146091376157,3.05026900962893
"206","WACA","P",2016,"P06","A","C","1",206,19,190,80.6366851997278,NA,NA,0.739156462585034,1.93526648706727,3.83371583559357
"207","WACA","P",2016,"P06","A","C","2",207,26,351,130.023146087604,NA,NA,0.86852700263779,2.53085942463801,7.60612460401267
"208","WACA","P",2016,"P06","A","C","3",208,17,153,68.0277721065285,NA,NA,0.859572152501445,2.28153618964912,7.12109469605231
"209","WACA","P",2016,"P06","A","C","4",209,21,231,93.9402614818201,NA,NA,0.81484137027215,2.26307272103248,5.40077446819423
"210","WACA","P",2016,"P06","A","C","5",210,18,171,74.2430220006532,NA,NA,0.438512334338319,1.18668766679322,1.78098302270195
"211","WACA","P",2018,"P06","A","A","1",211,15,120,56.1540848914841,NA,NA,0.249422300978197,0.70408062049166,1.33230710331956
"212","WACA","P",2018,"P06","A","A","2",212,12,78,39.8313753407846,NA,NA,0.822306238185255,2.01075052088026,5.62765957446809
"213","WACA","P",2018,"P06","A","A","3",213,16,136,61.9962048174298,NA,NA,0.872781065088757,2.431130629147,7.86046511627907
"214","WACA","P",2018,"P06","A","A","4",214,16,136,61.9962048174298,NA,NA,0.254577883472057,0.724646393523957,1.34152177380763
"215","WACA","P",2018,"P06","A","A","5",215,17,153,68.0277721065285,NA,NA,0.37900390625,0.967839948942935,1.61031608743513
